Accuracy,Balanced_Accuracy,Precision,Recall_DR,Specificity,F1,F2,AUROC,AUPRC,MCC,Cohen_Kappa,FPR_FAR,FNR_MissRate,NPV,Brier,ECE,TP,TN,FP,FN,Threshold,Collapsed_All_Attack,Collapsed_All_Normal,Dataset,Model,Condition,Seed
0.977128899744643,0.6966126656848306,1.0,0.39322533136966126,1.0,0.5644820295983086,0.44753603754609456,0.6591591326256013,0.47548880343114636,0.6197552178706792,0.5550140784708217,0.0,0.6067746686303387,0.976784808700062,0.16073397963488065,0.2342531531477539,534,34670,0,824,0.9996205568313599,False,False,SWaT,DT-RAVLA-Supervised,Temporal_Jitter,62
0.9758521150216498,0.6796759941089838,1.0,0.3593519882179676,1.0,0.5287107258938245,0.41216216216216217,0.5558811397850467,0.4489261237066924,0.5920770605938044,0.5191275911183224,0.0,0.6406480117820325,0.9755205402363534,0.194466322479343,0.2657198618965693,488,34670,0,870,0.9992736120224,False,False,SWaT,DT-RAVLA-Supervised,Clean,72
0.9758521150216498,0.6796759941089838,1.0,0.3593519882179676,1.0,0.5287107258938245,0.41216216216216217,0.5540388060284789,0.4499290071360678,0.5920770605938044,0.5191275911183224,0.0,0.6406480117820325,0.9755205402363534,0.16819557154663647,0.23740811607699092,488,34670,0,870,0.9992736120224,False,False,SWaT,DT-RAVLA-Supervised,Gaussian_5pct,72
0.9758521150216498,0.6796759941089838,1.0,0.3593519882179676,1.0,0.5287107258938245,0.41216216216216217,0.5489389437885419,0.4530230017157001,0.5920770605938044,0.5191275911183224,0.0,0.6406480117820325,0.9755205402363534,0.12599322035891616,0.18841830155261058,488,34670,0,870,0.9992736120224,False,False,SWaT,DT-RAVLA-Supervised,Gaussian_10pct,72
0.9623903630509604,0.5011045655375552,1.0,0.0022091310751104565,1.0,0.00440852314474651,0.0027598896044158236,0.5654555597421171,0.38046295438157685,0.046108996285859113,0.004243058167550218,0.0,0.9977908689248896,0.9623872310895212,0.21024501024134834,0.29387710576942194,3,34670,0,1355,0.9992736120224,False,False,SWaT,DT-RAVLA-Supervised,Missing_10pct,72
0.9623070944820695,0.5,0.0,0.0,1.0,0.0,0.0,0.4961805459682349,0.19799166192704654,0.0,0.0,0.0,1.0,0.9623070944820695,0.24635554658987996,0.33196338714908274,0,34670,0,1358,0.9992736120224,False,True,SWaT,DT-RAVLA-Supervised,Missing_20pct,72
0.9758798712112802,0.6800441826215022,1.0,0.3600883652430044,1.0,0.5295073091499729,0.41293700388447896,0.5518465285780978,0.450935492437584,0.5926917249016582,0.5199256644024637,0.0,0.6399116347569955,0.9755479895326261,0.196167054679081,0.26733466333808475,489,34670,0,869,0.9992736120224,False,False,SWaT,DT-RAVLA-Supervised,Frozen_10pct,72
0.9758798712112802,0.6800441826215022,1.0,0.3600883652430044,1.0,0.5295073091499729,0.41293700388447896,0.6846106971984538,0.4995823222123096,0.5926917249016582,0.5199256644024637,0.0,0.6399116347569955,0.9755479895326261,0.10734764234622868,0.15746991703109292,489,34670,0,869,0.9992736120224,False,False,SWaT,DT-RAVLA-Supervised,Bias_10pct,72
0.9758521150216498,0.6796759941089838,1.0,0.3593519882179676,1.0,0.5287107258938245,0.41216216216216217,0.5558811079256427,0.44892612307113994,0.5920770605938044,0.5191275911183224,0.0,0.6406480117820325,0.9755205402363534,0.1944663225255551,0.2657198619020442,488,34670,0,870,0.9992736120224,False,False,SWaT,DT-RAVLA-Supervised,Temporal_Jitter,72
0.9758521150216498,0.6796759941089838,1.0,0.3593519882179676,1.0,0.5287107258938245,0.41216216216216217,0.6074211384172163,0.4829451947845773,0.5920770605938044,0.5191275911183224,0.0,0.6406480117820325,0.9755205402363534,0.08723352826941247,0.12757700272168,488,34670,0,870,0.9997255804538727,False,False,SWaT,DT-RAVLA-Supervised,Clean,82
